"NAPLES MUNICIPAL AIRPORT, FL US (USW00012897)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
2002-03-01,67,78,56,0.00,,
2002-03-02,76,83,69,0.00,,
2002-03-03,78,84,71,0.00,,
2002-03-04,64,76,51,0.08,,
2002-03-05,58,70,45,0.00,,
2002-03-06,65,73,57,0.00,,
2002-03-07,68,75,61,0.08,,
2002-03-08,74,84,63,0.00,,
2002-03-09,72,82,61,0.01,,
2002-03-10,71,80,62,0.00,,
2002-03-11,74,86,61,0.00,,
2002-03-12,73,82,63,0.00,,
2002-03-13,73,80,66,0.00,,
2002-03-14,71,80,61,0.00,,
2002-03-15,75,87,63,0.01,,
2002-03-16,77,86,68,0.00,,
2002-03-17,74,85,63,0.00,,
2002-03-18,75,85,65,0.00,,
2002-03-19,75,85,64,0.01,,
2002-03-20,76,86,66,0.00,,
2002-03-21,74,82,65,0.00,,
2002-03-22,73,82,64,0.00,,
2002-03-23,71,84,57,0.00,,
2002-03-24,76,87,65,0.70,,
2002-03-25,76,86,66,0.28,,
2002-03-26,77,86,67,0.01,,
2002-03-27,75,83,67,0.00,,
2002-03-28,71,77,64,0.00,,
2002-03-29,76,88,64,0.00,,
2002-03-30,77,87,66,0.00,,
2002-03-31,75,85,65,0.00,,
2002-04-01,77,84,70,0.01,,
2002-04-02,77,87,67,0.00,,
2002-04-03,77,84,69,0.00,,
2002-04-04,75,85,64,0.00,,
2002-04-05,75,81,68,0.00,,
2002-04-06,74,84,63,0.00,,
2002-04-07,73,85,60,0.00,,
2002-04-08,76,87,64,0.00,,
2002-04-09,77,87,66,0.00,,
2002-04-10,76,87,64,0.00,,
2002-04-11,75,86,64,0.06,,
2002-04-12,74,84,64,0.53,,
2002-04-13,75,84,65,0.75,,
2002-04-14,74,84,64,0.07,,
2002-04-15,75,84,65,0.02,,
2002-04-16,77,86,67,0.00,,
2002-04-17,78,88,67,0.75,,
2002-04-18,77,87,67,0.15,,
2002-04-19,77,87,66,0.01,,
2002-04-20,75,85,64,0.00,,
2002-04-21,76,83,68,0.00,,
2002-04-22,77,83,70,0.00,,
2002-04-23,80,87,72,0.00,,
2002-04-24,82,91,73,0.00,,
2002-04-25,78,87,68,0.00,,
2002-04-26,78,86,70,0.00,,
2002-04-27,79,89,68,0.00,,
2002-04-28,77,86,68,0.00,,
2002-04-29,77,83,70,0.00,,
2002-04-30,77,85,69,0.00,,
2002-05-01,78,86,69,0.00,,
2002-05-02,79,87,70,0.00,,
2002-05-03,81,91,71,0.00,,
2002-05-04,80,89,70,0.00,,
2002-05-05,80,88,71,0.00,,
2002-05-06,83,94,71,0.00,,
2002-05-07,81,91,70,0.00,,
2002-05-08,81,90,71,0.00,,
2002-05-09,79,90,67,0.04,,
2002-05-10,80,92,67,0.00,,
2002-05-11,81,92,70,0.00,,
2002-05-12,82,91,72,0.00,,
2002-05-13,79,88,69,0.00,,
2002-05-14,80,86,74,0.00,,
2002-05-15,81,92,70,0.00,,
2002-05-16,82,91,72,2.23,,
2002-05-17,81,90,71,0.00,,
2002-05-18,81,88,73,0.00,,
2002-05-19,75,82,68,2.16,,
2002-05-20,78,87,68,0.01,,
2002-05-21,77,87,67,0.00,,
2002-05-22,78,89,67,0.00,,
2002-05-23,78,89,66,0.00,,
2002-05-24,78,89,67,0.00,,
2002-05-25,76,87,65,0.00,,
2002-05-26,78,89,67,0.00,,
2002-05-27,81,90,72,0.72,,
2002-05-28,81,91,70,0.00,,
2002-05-29,77,85,68,0.00,,
2002-05-30,81,88,73,0.00,,
2002-05-31,80,87,72,0.00,,
2002-06-01,81,89,72,0.00,,
2002-06-02,81,89,73,0.00,,
2002-06-03,82,89,75,0.00,,
2002-06-04,83,91,75,0.09,,
2002-06-05,82,88,76,0.00,,
2002-06-06,82,88,76,0.00,,
2002-06-07,82,88,76,0.00,,
2002-06-08,80,87,72,0.11,,
2002-06-09,83,93,72,0.00,,
2002-06-10,83,93,72,0.29,,
2002-06-11,82,91,72,0.14,,
2002-06-12,81,88,74,0.00,,
2002-06-13,81,86,76,0.75,,
2002-06-14,78,82,74,1.33,,
2002-06-15,80,85,75,3.10,,
2002-06-16,82,88,75,0.61,,
2002-06-17,81,88,74,0.00,,
2002-06-18,82,90,73,0.05,,
2002-06-19,81,88,74,0.38,,
2002-06-20,81,88,73,0.81,,
2002-06-21,77,81,73,0.00,,
2002-06-22,77,81,73,0.52,,
2002-06-23,81,88,74,0.00,,
2002-06-24,81,89,73,1.74,,
2002-06-25,81,88,73,0.01,,
2002-06-26,81,87,74,0.00,,
2002-06-27,82,89,74,0.02,,
2002-06-28,82,89,74,1.25,,
2002-06-29,83,91,74,1.88,,
2002-06-30,81,88,74,0.10,,
2002-07-01,80,87,73,0.07,0.0,0.0
2002-07-02,80,87,73,0.00,0.0,0.0
2002-07-03,82,88,75,0.01,0.0,0.0
2002-07-04,82,88,76,0.00,0.0,0.0
2002-07-05,82,88,75,0.00,0.0,0.0
2002-07-06,80,87,73,0.27,0.0,0.0
2002-07-07,81,90,72,2.16,0.0,0.0
2002-07-08,79,84,73,0.41,0.0,0.0
2002-07-09,79,84,73,0.03,0.0,0.0
2002-07-10,78,82,73,0.16,0.0,0.0
2002-07-11,80,87,73,0.03,0.0,0.0
2002-07-12,84,89,78,0.00,0.0,0.0
2002-07-13,83,89,77,0.00,0.0,0.0
2002-07-14,85,89,80,0.00,0.0,0.0
2002-07-15,84,91,76,0.00,0.0,0.0
2002-07-16,86,92,79,0.00,0.0,0.0
2002-07-17,,92,78,0.25,0.0,0.0
2002-07-18,85,91,79,0.53,0.0,0.0
2002-07-19,84,90,78,0.00,0.0,0.0
2002-07-20,85,91,78,0.00,0.0,0.0
2002-07-21,83,90,76,0.02,0.0,0.0
2002-07-22,83,92,74,0.00,0.0,0.0
2002-07-23,85,92,77,0.01,0.0,0.0
2002-07-24,86,94,77,0.18,0.0,0.0
2002-07-25,83,92,73,0.90,0.0,0.0
2002-07-26,83,92,74,0.78,0.0,0.0
2002-07-27,84,93,75,0.06,0.0,0.0
2002-07-28,85,93,76,0.31,0.0,0.0
2002-07-29,83,92,74,0.40,0.0,0.0
2002-07-30,83,92,74,0.00,0.0,0.0
2002-07-31,83,91,75,0.00,0.0,0.0
2002-08-01,85,90,79,0.00,0.0,0.0
2002-08-02,84,90,78,0.00,0.0,0.0
2002-08-03,84,90,77,0.00,0.0,0.0
2002-08-04,84,92,76,0.00,0.0,0.0
2002-08-05,83,91,74,0.00,0.0,0.0
2002-08-06,85,91,79,0.00,0.0,0.0
2002-08-07,83,91,74,0.26,0.0,0.0
2002-08-08,83,91,74,0.00,0.0,0.0
2002-08-09,84,93,74,0.00,0.0,0.0
2002-08-10,83,92,74,0.00,0.0,0.0
2002-08-11,80,85,75,0.00,0.0,0.0
2002-08-12,83,91,74,0.01,0.0,0.0
2002-08-13,84,92,75,0.00,0.0,0.0
2002-08-14,84,93,74,2.54,0.0,0.0
2002-08-15,85,95,75,0.05,0.0,0.0
2002-08-16,85,93,76,0.12,0.0,0.0
2002-08-17,84,92,75,0.71,0.0,0.0
2002-08-18,82,90,74,0.13,0.0,0.0
2002-08-19,82,90,74,0.01,0.0,0.0
2002-08-20,81,90,72,0.16,0.0,0.0
2002-08-21,82,91,73,0.05,0.0,0.0
2002-08-22,84,93,74,0.01,0.0,0.0
2002-08-23,82,90,74,0.00,0.0,0.0
2002-08-24,83,90,75,0.02,0.0,0.0
2002-08-25,83,90,76,0.00,0.0,0.0
2002-08-26,84,90,77,0.00,0.0,0.0
2002-08-27,82,89,74,0.72,0.0,0.0
2002-08-28,81,89,72,0.10,0.0,0.0
2002-08-29,82,90,74,0.04,0.0,0.0
2002-08-30,82,90,74,1.40,0.0,0.0
2002-08-31,83,91,74,1.22,0.0,0.0
2002-09-01,82,89,75,0.01,0.0,0.0
2002-09-02,83,90,76,0.04,0.0,0.0
2002-09-03,83,89,76,1.53,0.0,0.0
2002-09-04,83,89,76,0.35,0.0,0.0
2002-09-05,82,89,74,1.76,0.0,0.0
2002-09-06,83,91,75,0.65,0.0,0.0
2002-09-07,83,90,75,0.00,0.0,0.0
2002-09-08,83,90,75,0.00,0.0,0.0
2002-09-09,83,90,75,0.09,0.0,0.0
2002-09-10,82,88,75,2.72,0.0,0.0
2002-09-11,77,81,73,0.50,0.0,0.0
2002-09-12,78,82,73,1.00,0.0,0.0
2002-09-13,83,87,78,0.00,0.0,0.0
2002-09-14,84,91,77,0.05,0.0,0.0
2002-09-15,85,91,78,0.26,0.0,0.0
2002-09-16,84,91,76,0.78,0.0,0.0
2002-09-17,84,93,75,0.00,0.0,0.0
2002-09-18,85,93,77,0.00,0.0,0.0
2002-09-19,85,93,77,0.12,0.0,0.0
2002-09-20,85,93,77,0.31,0.0,0.0
2002-09-21,84,92,75,0.05,0.0,0.0
2002-09-22,84,90,77,0.00,0.0,0.0
2002-09-23,81,87,75,0.41,0.0,0.0
2002-09-24,84,91,76,0.04,0.0,0.0
2002-09-25,83,90,76,0.18,0.0,0.0
2002-09-26,83,89,77,0.07,0.0,0.0
2002-09-27,83,88,77,0.20,0.0,0.0
2002-09-28,,90,75,0.06,0.0,0.0
2002-09-29,83,90,75,0.10,0.0,0.0
2002-09-30,84,92,76,0.00,0.0,0.0
2002-10-01,84,92,76,0.00,0.0,0.0
2002-10-02,85,93,77,0.03,0.0,0.0
2002-10-03,82,90,74,0.00,0.0,0.0
2002-10-04,80,88,71,0.00,0.0,0.0
2002-10-05,83,91,75,0.00,0.0,0.0
2002-10-06,81,90,71,0.00,0.0,0.0
2002-10-07,81,91,71,0.00,0.0,0.0
2002-10-08,82,91,73,0.00,0.0,0.0
