TEAM,Gold,Silver,Bronze
United States of America,39,41,33
People's Republic of China,38,32,18
Japan,27,14,17
Great Britain,22,21,22
ROC,20,28,23
Australia,17,7,22
Netherlands,10,12,14
France,10,12,11
Germany,10,11,16
Italy,10,10,20
Canada,7,6,11
Brazil,7,6,8
New Zealand,7,6,7
Cuba,7,3,5
Hungary,6,7,7
Republic of Korea,6,4,10
Poland,4,5,5
Czech Republic,4,4,3
Kenya,4,4,2
Norway,4,2,2
Jamaica,4,1,4
Spain,3,8,6
Sweden,3,6,0
Switzerland,3,4,6
Denmark,3,4,4
Croatia,3,3,2
Islamic Republic of Iran,3,2,2
Serbia,3,1,5
Belgium,3,1,3
Bulgaria,3,1,2
Slovenia,3,1,1
Uzbekistan,3,0,2
Georgia,2,5,1
Chinese Taipei,2,4,6
Turkey,2,2,9
Greece,2,1,1
Uganda,2,1,1
Ecuador,2,1,0
Ireland,2,0,2
Israel,2,0,2
Qatar,2,0,1
Bahamas,2,0,0
Kosovo,2,0,0
Ukraine,1,6,12
Belarus,1,3,3
Romania,1,3,0
Venezuela,1,3,0
India,1,2,4
"Hong Kong, China",1,2,3
Philippines,1,2,1
Slovakia,1,2,1
South Africa,1,2,0
Austria,1,1,5
Egypt,1,1,4
Indonesia,1,1,3
Ethiopia,1,1,2
Portugal,1,1,2
Tunisia,1,1,0
Estonia,1,0,1
Fiji,1,0,1
Latvia,1,0,1
Thailand,1,0,1
Bermuda,1,0,0
Morocco,1,0,0
Puerto Rico,1,0,0
Colombia,0,4,1
Azerbaijan,0,3,4
Dominican Republic,0,3,2
Armenia,0,2,2
Kyrgyzstan,0,2,1
Mongolia,0,1,3
Argentina,0,1,2
San Marino,0,1,2
Jordan,0,1,1
Malaysia,0,1,1
Nigeria,0,1,1
Bahrain,0,1,0
Saudi Arabia,0,1,0
Lithuania,0,1,0
North Macedonia,0,1,0
Namibia,0,1,0
Turkmenistan,0,1,0
Kazakhstan,0,0,8
Mexico,0,0,4
Finland,0,0,2
Botswana,0,0,1
Burkina Faso,0,0,1
Côte d'Ivoire,0,0,1
Ghana,0,0,1
Grenada,0,0,1
Kuwait,0,0,1
Republic of Moldova,0,0,1
Syrian Arab Republic,0,0,1
