date,Precipitation station 1,Precipitation station 2,Precipitation station 3,Precipitation station 4,Precipitation station 5,Precipitation station 6,Precipitation station 7,Precipitation station 8,Precipitation station 9
2001-01-01,0,0,0.021,0.071000002,0,0,0.025,0.025,0
2001-01-02,0,0.025,0.037,0,0.004,0.054000001,0.041999999,0.021,0.054000001
2001-01-03,0,0,0,0,0,0,0,0.041999999,0
2001-01-04,0,0,0,0,0,0,0,0,0
2001-01-05,0,0,0.158000007,0.021,0,0,0.017000001,0.021,0
2001-01-06,0.221000001,0.379000008,0.137999997,0.282999992,0.30399999,0.453999996,0.388000011,0.317000002,0.425000012
2001-01-07,0.004,0,0.021,0,0,0,0,0,0
2001-01-08,0.312000006,0.232999995,0.279000014,0.287,0.307999998,0.263000011,0.30399999,0.317000002,0.32100001
2001-01-09,0.021,0.021,0.008,0.017000001,0.004,0,0.008,0,0
2001-01-10,0,0,0,0.004,0.004,0,0,0,0
2001-01-11,0,0,0,0,0,0,0,0,0
2001-01-12,0,0,0,0,0,0,0,0,0
2001-01-13,0,0,0,0,0,0,0,0,0
2001-01-14,0,0,0,0,0,0,0,0,0
2001-01-15,0,0,0,0,0,0,0,0,0
2001-01-16,0,0,0,0,0.008,0.028999999,0.028999999,0.025,0
2001-01-17,0.017000001,0,0,0,0,0,0,0,0
2001-01-18,0.017000001,0.008,0.037,0.021,0.025,0.008,0,0.025,0.025
2001-01-19,0,0.041999999,0.145999998,0.008,0.025,0.008,0.041999999,0,0
2001-01-20,0.145999998,0.232999995,0.092,0.163000003,0.158000007,0.137999997,0.166999996,0.137999997,0.150000006
2001-01-21,0.137999997,0.158000007,0.112999998,0.128999993,0.195999995,0.116999999,0.100000001,0.174999997,0.100000001
2001-01-22,0,0,0.017000001,0.004,0,0,0.008,0,0
2001-01-23,0.021,0.021,0.004,0.017000001,0.008,0,0,0.008,0.050000001
2001-01-24,0.382999986,0.400000006,0.603999972,0.312000006,0.354000002,0.328999996,0.32100001,0.328999996,0.508000016
2001-01-25,0.246000007,0.379000008,0.153999999,0.208000004,0.32100001,0.270999998,0.317000002,0.32100001,0.282999992
2001-01-26,0,0.270999998,0.263000011,0.282999992,0.246000007,0.232999995,0.200000003,0.26699999,0.254000008
2001-01-27,0.470999986,0.112999998,0.054000001,0.071000002,0.125,0.079000004,0.071000002,0.050000001,0.150000006
2001-01-28,0.307999998,0.279000014,0.153999999,0.257999986,0.158000007,0.071000002,0.120999999,0.171000004,0.125
2001-01-29,0.120999999,0.104000002,0.100000001,0.174999997,0.061999999,0.096000001,0.054000001,0.025,0.025
2001-01-30,0.125,0.071000002,0,0.096000001,0.150000006,0.092,0.050000001,0.071000002,0.017000001
2001-01-31,0.263000011,0.104000002,0.279000014,0.092,0,0.096000001,0.075000003,0.021,0.216999993
